HCR No,Installation Name,Operator,Incident Date,Leak Size (kg),Fluid Phase,Severity
5743 ,ELGIN PUQ ,TOTAL E&P UK LTD,06/09/2009 ,1.6,Gas,Significant
5744 ,BALMORAL ,PREMIER OIL,13/07/2009 ,15.0,Gas,Minor
5745 ,BALMORAL ,PREMIER OIL,31/07/2009 ,402.0,Gas,Significant
5746 ,BALMORAL ,PREMIER OIL,11/08/2009 ,3.3,Gas,Significant
5747 ,BERYL ALPHA ,EXXONMOBIL  ,13/08/2009 ,5.8,Gas,Significant
5748 ,JUDY ,CONOCO PHILLIPS,13/09/2009 ,3.4,Gas,Significant
5750 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,13/09/2009 ,20.0,Non-Process,Minor
5751 ,CLYDE PLATFORM ,TALISMAN ENERGY (UK) LIMITED,20/09/2009 ,42.6,Gas,Significant
5752 ,ANDREW ,BP MBU,05/10/2009 ,4.6,Gas,Significant
5753 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,11/08/2009 ,700.0,Gas,Major
5754 ,JANICE ,MAERSK OIL NORTH SEA (UK) LTD,30/06/2009 ,0.5,Gas,Minor
5755 ,JANICE ,MAERSK OIL NORTH SEA (UK) LTD,03/07/2009 ,0.1,Gas,Minor
5756 ,TARTAN A ,TALISMAN ENERGY (UK) LIMITED,06/08/2009 ,40.0,Non-Process,Minor
5758 ,Beatrice Alpha ,WOOD GROUP ENGINEERING (NORTH SEA) LTD,27/09/2009 ,0.1,Gas,Minor
5759 ,Buzzard P Platform ,NEXEN PETROLEUM UK LTD,29/10/2009 ,43.0,Oil,Minor
5760 ,BRITANNIA BOL ,BOL (BRITANNIA OPERATOR LIMITED),23/10/2009 ,3.9,Condensate,Minor
5761 ,CORMORANT ALPHA ,TAQA BRATANI LTD,16/09/2009 ,10.4,Gas,Significant
5762 ,CLAYMORE A ,TALISMAN ENERGY (UK) LIMITED,17/10/2009 ,1.0,Gas,Minor
5763 ,WAVENEY ,PERENCO UK LIMITED,18/09/2009 ,1.0,Gas,Minor
5764 ,MURCHISON ,CNR (CANADIAN NATIONAL RESOURCE),06/10/2009 ,17.2,Oil,Minor
5765 ,LOMOND ,BG INTERNATIONAL ,13/10/2009 ,20.0,Condensate,Minor
5766 ,CLIPPER PT ,SHELL U.K. SOUTHERN OPS,25/07/2009 ,2.3,Gas,Significant
5767 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,30/09/2009 ,66.0,Gas,Significant
5768 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,30/09/2009 ,59.0,Gas,Significant
5769 ,BRENT CHARLIE ,SHELL U.K. NORTHERN OPS,30/09/2009 ,8.0,Gas,Significant
5770 ,LEMAN AP ,SHELL U.K. SOUTHERN OPS,23/10/2009 ,2.1,Condensate,Minor
5771 ,ARMADA ,BG INTERNATIONAL,23/10/2009 ,0.9,Gas,Minor
5772 ,LEMAN AK ,SHELL U.K. SOUTHERN OPS,22/10/2009 ,1.0,Gas,Minor
5773 ,NORTHERN PRODUCER ,PETROFAC FACILITIES MANAGEMENT LTD,25/10/2009 ,0.3,Gas,Minor
5774 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,22/10/2009 ,160.0,Non-Process,Significant
5775 ,ROUGH BD ,CENTRICA STORAGE LTD,21/10/2009 ,0.5,Non-Process,Minor
5776 ,BRITANNIA BOL ,BOL (BRITANNIA OPERATOR LIMITED),17/11/2009 ,800.0,Non-Process,Significant
5777 ,ALWYN NORTH A ,TOTAL E&P UK LTD,23/11/2009 ,542.0,Non-Process,Significant
5778 ,BALMORAL ,PREMIER OIL,14/11/2009 ,10.0,Gas,Minor
5779 ,ANDREW ,BP MBU,05/12/2009 ,0.2,Gas,Minor
5780 ,TARTAN A ,TALISMAN ENERGY (UK) LIMITED,11/12/2009 ,147.0,Gas,Significant
5781 ,Aoka Mizu ,BLUEWATER ENGINEERING,01/12/2009 ,16.8,Gas,Significant
5782 ,TRANSOCEAN JOHN SHAW ,TRANSOCEAN OFFSHORE (NORTH SEA) LTD,22/11/2009 ,32.0,Oil,Minor
5783 ,MUNGO (ETAP),BP MBU,09/12/2009 ,1382.0,2-Phase,Major
5784 ,MAGNUS ,BP (DBU),10/12/2009 ,1.0,Gas,Minor
5785 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,21/10/2009 ,80.0,Non-Process,Significant
5786 ,BRAE B ,MARATHON OIL (UK) LIMITED,27/11/2009 ,307.8,Condensate,Significant
5787 ,AUK A ,TALISMAN ENERGY (UK) LIMITED,15/12/2009 ,1350.0,Non-Process,Significant
5788 ,SHEARWATER WHP ,SHELL U.K. (CENTRAL),04/11/2009 ,9.0,2-Phase,Minor
5789 ,ANASURIA ,SHELL U.K. (CENTRAL),29/11/2009 ,46.0,Gas,Significant
5790 ,SHEARWATER WHP ,SHELL U.K. (CENTRAL),01/12/2009 ,1.0,Gas,Minor
5791 ,GANNET ,SHELL U.K. (CENTRAL),01/12/2009 ,2.0,2-Phase,Minor
5792 ,NORTHERN PRODUCER ,PETROFAC FACILITIES MANAGEMENT LTD,26/12/2009 ,0.5,Gas,Minor
5794 ,LEMAN AP ,SHELL U.K. SOUTHERN OPS,31/10/2009 ,1.0,Gas,Minor
5797 ,ROUGH BD ,CENTRICA STORAGE LTD,25/11/2009 ,4.8,Gas,Significant
5798 ,THISTLE A ,PETROFAC FACILITIES MANAGEMENT LTD,11/12/2009 ,3.6,Non-Process,Minor
5799 ,CLYDE PLATFORM ,TALISMAN ENERGY (UK) LIMITED,19/01/2010 ,24.6,Non-Process,Minor
5800 ,NOBLE JULIE ROBERTSON ,NOBLE DRILLING,20/11/2009 ,189.5,Gas,Significant
5801 ,NORTH SEA PRODUCER ,MAERSK COMPANY LIMITED,30/01/2010 ,60.0,Oil,Minor
5803 ,SCOTT JU ,NEXEN PETROLEUM UK LTD,28/01/2010 ,19.0,Gas,Significant
5804 ,NORTH CORMORANT ,TAQA BRATANI LTD,11/10/2009 ,1.6,2-Phase,Minor
5805 ,SHEARWATER PUQ ,SHELL U.K. (CENTRAL),15/11/2009 ,3.9,Gas,Minor
5806 ,GANNET ,SHELL U.K. (CENTRAL),15/01/2010 ,15.7,Oil,Minor
5808 ,HAEWENE BRIM ,BLUEWATER ENGINEERING,16/12/2009 ,58.0,Gas,Significant
5809 ,ARMADA ,BG INTERNATIONAL,17/01/2010 ,0.4,Gas,Minor
5810 ,CLAYMORE A ,TALISMAN ENERGY (UK) LIMITED,08/01/2010 ,0.8,Gas,Minor
5811 ,CLAYMORE A ,TALISMAN ENERGY (UK) LIMITED,08/01/2010 ,0.5,Gas,Minor
5815 ,Aoka Mizu ,BLUEWATER ENGINEERING,29/01/2010 ,5.0,Gas,Significant
5816 ,SCOTT JD ,NEXEN PETROLEUM UK LTD,01/03/2010 ,46.0,Oil,Minor
5817 ,ARMADA ,BG INTERNATIONAL,26/01/2010 ,0.3,Gas,Minor
